id,created_at,body,likes,post_id,author_id
43,2021-11-10 14:08:57,You are so clever!,8,40,171
44,2023-01-28 20:32:33,What a great learner you are!,5,181,177
45,2022-08-19 18:24:20,I value these thoughts!,10,146,48
46,2020-10-01 14:00:28,You are such a motivated worker!,8,176,68
47,2024-02-17 03:13:09,You show great attention to detail!,1,245,115
48,2023-06-23 04:39:18,You are so artistic!,4,197,36
49,2024-07-09 19:24:37,I am so proud of you!,3,86,144
50,2023-01-04 12:17:00,Lovely handwriting!,2,203,74
51,2023-05-03 17:30:07,Great example!,4,120,15
52,2023-03-03 22:29:42,You worked so hard!,7,84,93
53,2022-10-10 12:14:29,You are a star!,3,162,115
54,2020-09-25 12:21:23,You learned so much!,6,117,86
55,2023-08-21 23:52:58,You are so smart!,1,50,29
56,2022-09-03 17:42:42,You've made a lot of progress!,8,58,35
57,2022-05-23 20:12:10,What bright thinking!,0,25,194
58,2021-10-22 01:58:40,You rocked this!,10,81,106
59,2021-10-11 05:44:01,Great thinking!,1,15,74
60,2021-11-08 08:12:56,You did your best!,10,239,18
61,2022-05-13 19:54:29,I love this!,10,174,40
62,2021-12-26 22:18:29,You can do hard things!,10,229,76
63,2024-07-24 07:49:54,You are talented!,1,215,98
64,2020-02-19 16:08:01,You amaze me!,6,123,171
65,2022-01-27 00:37:50,You discovered something new!,8,87,100
66,2022-12-24 17:39:02,I enjoyed reading this!,8,226,44
67,2021-04-21 22:07:44,You are so ambitious!,0,176,13
68,2021-10-22 01:11:29,I appreciate your hard work!,8,240,51
69,2020-06-19 19:29:34,This is magical work!,5,66,148
70,2020-08-31 17:28:32,You did it!,5,133,78
71,2024-05-19 20:01:06,You've achieved so much!,4,109,188
72,2022-11-26 06:08:21,You really challenged yourself!,6,143,84
73,2024-01-12 02:07:36,I admire you!,3,242,52
74,2022-03-21 09:03:53,You are unstoppable!,3,63,192
75,2020-05-03 21:39:09,You have great ideas!,7,104,164
76,2021-01-06 19:02:13,This really sparkles!,8,2,68
77,2023-08-18 14:20:30,What a great vision you have!,0,215,57
78,2023-09-22 03:59:36,You have really improved!,9,174,198
79,2021-01-31 22:40:26,You've really grown!,6,51,195
80,2021-04-10 02:41:14,You are a snappy problem-solver!,2,171,112
81,2021-10-20 04:59:02,This really shines!,7,97,146
82,2024-05-13 20:30:49,You make me want to learn more!,9,201,95
83,2024-04-01 21:47:51,This made me smile!,8,15,204
84,2024-05-22 19:13:54,You are a winner!,8,3,14
85,2022-07-14 02:57:03,I love your creativity!,8,220,90
86,2021-04-18 21:27:34,You are so intelligent!,4,167,30
87,2023-07-10 04:59:34,You should be proud!,2,12,80
88,2022-08-13 14:21:54,You have amazing potential!,0,49,28
89,2020-05-31 08:03:21,This is top-notch!,5,161,78
90,2023-12-10 19:52:11,You deserve a high five!,9,202,135
91,2022-07-26 08:55:21,Way to think it through!,9,133,38
92,2021-08-06 04:14:24,This blew me away!,3,159,150
93,2023-06-08 00:36:50,These are fabulous ideas!,7,1,190
94,2022-11-11 19:28:02,This gets my seal of approval!,0,189,197
95,2020-01-22 14:28:51,This is quality work!,7,233,174
96,2021-03-23 07:48:23,You reached your goal!,1,109,2
97,2021-08-30 06:07:38,Out of this world!,7,16,208
98,2023-11-19 10:15:20,You're on top of it!,2,158,126
99,2022-06-21 10:29:10,I can tell this is your best effort!,9,49,166
100,2021-12-18 09:12:35,I love how motivated you are!,2,26,11
101,2021-10-17 12:52:18,You are so focused!,7,228,44
102,2024-07-22 10:09:50,I'm so lucky to grade your work!,5,128,81
103,2023-03-22 23:35:29,I love your enthusiasm!,7,221,21
104,2022-11-14 07:03:12,I think this is the best I've seen till now.,0,12,39
105,2020-10-04 04:23:14,"Not enough for me, you are everything.",6,111,115
106,2022-08-06 20:28:31,Just when I couldn't love you more. You posted this pic and my jaw dropped to the floor.,5,105,50
107,2022-10-10 15:41:36,You are a symbol of beauty.,7,1,131
108,2023-08-13 22:25:54,"Surely you are the most beautiful woman alive, the most that I've seen.",0,225,206
109,2022-05-29 02:28:38,You mean the world to me.,6,108,109
110,2024-06-18 12:43:51,The word pretty is worthless without you.,8,17,6
111,2022-02-07 07:17:39,You are the definition of Beauty.,6,95,122
112,2021-10-11 11:00:37,Flawless outstanding eccentric lovely beauty.,9,56,184
113,2020-04-29 19:27:27,"The stars, the moon, and the sun are minor to me since you sparkle brighter than all of them.",3,11,102
114,2023-01-29 16:28:26,You are graceful.,2,14,130
115,2021-04-27 05:55:14,Surely you would have been arrested if looking immensely beautiful was a crime.,1,167,2
116,2020-12-08 14:46:55,"You're an incredibly stunning, a really pretty, beautiful woman.",5,44,62
117,2020-07-25 08:12:02,"I guess this is your best look, you look beautiful in this outfit.",7,151,16
118,2022-10-12 17:14:32,You look mesmerizing.,2,229,18
119,2022-01-07 13:22:44,I wonder how cute you would be looking when you sleep.,9,67,25
120,2023-07-11 11:59:36,You are so much lovely.,5,68,14
121,2023-06-21 02:08:10,I love your curly hair.,7,41,14
122,2020-05-03 16:56:44,Your dressing sense is appreciable.,8,22,16
123,2023-07-26 16:13:06,You are the sweetest girl I have ever seen.,2,72,15
124,2021-08-12 14:54:12,I love that straight hair of yours.,1,197,116
125,2023-09-13 16:58:01,You are pleasing.,10,122,143
126,2021-03-30 07:26:31,Just 'WOW' for your natural beauty.,4,217,107
127,2021-04-25 01:16:15,I love how comfortable you are in your world.,8,65,154
128,2020-10-20 20:39:42,You are very much adorable.,2,39,37
129,2021-04-26 21:32:37,You look even more pretty without makeup.,0,55,63
130,2022-10-21 14:15:54,I feel so happy to be with you.,5,225,4
131,2021-02-15 20:59:31,You are my safest place.,2,124,29
132,2023-12-22 17:18:45,You look beautiful in that dress.,4,17,191
133,2023-09-24 06:59:18,I wish I had your makeup.,5,100,69
134,2020-02-02 18:47:09,You are stunning.,10,96,125
135,2022-08-07 13:03:23,That natural beauty tho.,6,216,32
136,2023-08-02 12:17:04,"You have the most beautiful, sparkling eyes.",3,146,7
137,2022-03-13 10:35:58,You have the most beautiful smile.,0,226,6
138,2022-11-24 07:04:23,Your sense of fashion is great.,3,152,126
139,2023-06-25 00:50:32,I like your hair.,8,120,92
140,2024-07-30 04:41:59,You look more beautiful than in the photo.,4,117,98
141,2021-11-30 03:31:02,You look stunning.,4,157,144
142,2022-08-22 13:09:17,You're classy.,4,78,26
143,2022-10-16 19:53:21,You're very trendy.,4,81,110
144,2022-03-02 09:08:40,Your true colors are beautiful.,6,141,77
145,2021-10-07 22:30:10,Getting lost in your chroma can prove fatal.,7,238,130
146,2024-03-17 03:24:32,You've got a beautiful heart.,8,149,137
147,2021-09-27 03:11:52,Inside out; you are beautiful.,1,246,76
148,2022-03-28 09:42:00,You take my breath away.,4,54,15
149,2020-04-01 19:10:12,I love how expressive your eyes are.,2,14,37
150,2023-11-07 04:57:48,Your beauty is one of the things I like about you.,7,42,39
151,2023-01-04 00:46:42,"Honestly, you are beautiful.",1,153,130
152,2023-12-09 23:40:11,You're helping us sound lovely.,4,179,110
153,2023-04-14 21:44:44,The beauty lies within the soul.,6,243,55
154,2020-12-14 00:06:04,"It's refreshing, your beauty.",8,114,127
155,2020-03-11 19:16:44,You are a whisper of perfection.,7,199,168
156,2022-05-08 20:21:53,You've got lovely eyes.,2,88,161
157,2021-11-07 10:14:43,There are endless possibilities for your beauty.,10,239,147
158,2023-06-06 16:07:16,You are a true beauty epitome.,0,229,39
159,2024-05-03 07:42:22,You're beautiful and enthusiastic.,5,145,142
160,2021-06-12 11:42:06,I see the power of your grace.,5,117,174
161,2023-07-27 08:45:59,You're like the sun's ray.,6,14,65
162,2021-05-09 13:52:37,You're a divine present.,7,177,205
163,2022-03-30 20:20:31,Beauty is just one of the beautiful features you have.,10,36,87
164,2020-02-14 13:44:42,The expression is lovely.,8,46,44
165,2020-05-24 04:22:23,Sorry is overcome by the grace.,10,236,148
166,2021-11-18 16:33:42,"You are true, beautiful and pure.",9,55,24
167,2022-04-28 09:12:17,You're flawless.,3,146,1
168,2023-09-22 19:08:09,You have a beautiful smile.,10,191,105
169,2023-08-17 13:42:22,Your beauty is amazing.,10,24,71
170,2022-04-30 10:42:05,I see the beauty of your life.,9,181,51
171,2022-06-11 16:17:02,I think you're fascinated.,10,104,27
172,2020-01-25 15:26:45,"You're energetic, aren't ya?",4,179,67
173,2021-10-11 23:49:58,Impressive pic.,6,241,26
174,2020-12-27 04:51:15,Strong and confident.,4,145,60
175,2021-01-19 04:37:58,The picture is lit!,8,163,25
176,2024-03-31 03:49:19,Vibes everywhere!,8,208,86
177,2020-04-24 08:02:06,I love your straight hair with a slight flix.,9,219,10
178,2023-03-16 22:18:27,The most stunning thing I've seen today.,0,40,180
179,2023-06-21 19:25:13,Your smile makes everyone happy.,0,11,17
180,2023-09-23 05:01:44,You are so gorgeous.,6,84,189
181,2022-03-02 02:01:55,You made my day.,3,149,90
182,2022-09-08 21:05:26,This beauty has no boundaries.,8,132,82
183,2021-09-04 10:43:31,No one makes me smile more than you.,9,172,164
184,2021-05-10 09:50:08,"Lady, you make me feel like a man.",10,111,167
185,2021-10-14 22:31:12,I just can't stop wondering about you.,0,155,28
186,2022-11-10 18:07:32,"When I hear your voice, my morning is all my day.",7,222,3
187,2022-05-04 05:42:53,I am now not thankful for anything aside from having you in my life.,7,179,152
188,2022-01-14 05:23:22,"I can never get angry with you, your love is incompetent.",0,143,162
189,2021-03-20 19:37:47,"If there is no “you”, then my life means nothing.",2,213,74
190,2024-07-03 17:19:20,I get attracted to you when you try to make me a better person.,9,58,207
191,2021-03-25 02:46:46,I want to see you.,4,76,47
192,2022-09-04 16:17:02,Hehe. cute monkey.,5,13,152
193,2022-09-05 01:28:16,"You're too short, just like your brain.",9,30,113
194,2023-12-30 13:01:12,"Hey, you brainless cutie….",0,20,28
195,2022-03-22 02:43:24,"I am still wondering how can god create this kind of bizarre human being who is cute, adorable at the same time has no brain.",7,88,181
196,2021-01-01 20:47:53,You are my precious fool.,8,4,39
197,2020-08-16 20:46:27,Hello idiot!,7,14,98
198,2021-07-15 14:18:14,"What did I just see, that's amazing, oh sorry it's you!",5,2,150
199,2024-06-28 01:14:59,Cute little bitch.,4,79,117
200,2021-02-25 23:02:10,Surely you'd have used a photo editor.,3,141,100
201,2022-09-30 13:58:12,Nice make-up.,6,77,13
202,2020-05-08 08:03:38,Hey Guys! here you can get to know about all the latest updates of Instagram filters.,2,114,166
203,2022-12-18 12:13:31,Pretty enough.,6,180,120
204,2024-06-04 07:08:45,How Gorgeous.,0,114,93
205,2020-03-06 18:43:33,You are ravishing.,7,178,128
206,2023-07-08 06:24:53,Why are you so beautiful?,1,80,116
207,2022-11-29 03:01:32,You are amazing.,5,126,184
208,2022-01-01 21:11:09,Lit!,1,168,180
209,2020-09-29 23:53:00,Your eyes are like stars.,10,1,95
210,2021-05-04 22:19:25,You are just inexplicable.,3,4,158
211,2021-04-29 05:11:07,"Damn, what are you made of?",3,133,93
212,2020-03-10 14:45:01,You seem pretty.,1,30,20
213,2022-03-05 03:55:33,You are engaging.,1,175,42
214,2021-06-17 21:02:44,This one's stunning.,2,48,104
215,2023-11-10 23:57:19,Damn that cheeks.,10,169,43
216,2020-07-01 02:10:27,You are winsome.,9,134,50
217,2022-09-02 18:28:40,You are exquisite.,10,51,14
218,2020-09-26 20:24:16,"Hello, Miss world.",6,212,146
219,2023-10-06 10:15:45,You are elegant.,2,141,67
220,2023-01-21 21:27:51,Mine.,5,58,30
221,2021-03-28 19:57:39,Your charm is never-ending.,1,126,200
222,2024-04-04 12:32:56,Your smile is beautiful.,2,92,83
223,2021-05-30 20:56:42,Nice outfit.,8,38,165
224,2021-05-09 17:09:55,Those earrings suit you.,8,65,128
225,2020-07-20 21:01:11,You are graceful.,8,31,11
226,2023-04-29 00:29:08,Cutiepie.,2,152,189
227,2020-05-13 05:12:55,So lovely.,5,17,101
228,2021-06-24 19:27:19,Your charm is irresistible.,10,131,205
229,2020-08-22 11:11:06,See your beauty.,8,167,165
230,2020-10-15 21:58:42,You are mine.,9,42,127
231,2024-06-03 14:53:08,My heartbeat.,4,21,106
232,2020-03-16 13:40:21,The most pretty girl around.,10,181,107
233,2020-09-03 21:07:56,Probably the next miss world.,0,175,78
234,2022-12-28 17:09:33,That innocent look tho.,0,50,146
235,2021-10-31 18:53:41,"It seems your Demand will probably increase in the future, lmao.",2,194,65
236,2023-10-05 12:43:00,You spunky.,9,165,23
237,2022-01-15 14:28:25,Precious diamond.,5,135,126
238,2023-03-20 12:55:38,I respect you.,8,41,121
239,2021-10-30 02:36:22,Keep smiling.,7,245,103
240,2022-12-09 03:51:04,Where did you get that charm from?,6,150,83
241,2022-11-13 01:01:42,I'm sure your mother is the most beautiful lady in the world.,0,228,149
242,2021-09-05 23:29:51,I've heard about seven wonders of the world and the 8th just showed up!!,0,9,35
243,2022-09-20 13:39:02,You are wonderful.,1,101,89
244,2021-09-03 12:09:13,You are mind-blowing.,1,165,55
245,2020-10-13 02:52:00,Cool.,1,165,46
246,2023-12-06 09:08:21,You are Fantabulous.,2,96,173
247,2023-09-12 07:32:03,This pic is just Fantastic.,9,102,146
248,2024-02-29 02:41:51,Supercalifragilisticexpialidocious.,5,83,151
249,2021-08-11 22:52:05,Incredibly attractive.,9,30,108
250,2020-04-01 16:12:11,Aren't you awesome?,8,70,57
251,2022-10-29 22:51:27,Your magnificence is irresistible.,3,58,51
252,2024-04-13 06:47:44,Such a charming post.,7,113,57
253,2021-10-25 22:55:58,Elegant pic.,2,228,22
254,2022-07-10 19:49:20,My words are less to portray this picture.,6,193,127
255,2023-12-03 02:14:18,Beauty lies inside for those who choose to see.,6,26,84
256,2022-04-03 07:27:05,The control of excellence lies inside the soul.,8,13,113
257,2024-03-18 12:51:17,This picture is worth a million words.,9,99,25
258,2023-10-07 12:59:38,Beauty is control; a grin is its sword.,9,18,74
259,2021-10-14 23:52:29,This looks exotic.,6,186,199
260,2021-05-27 15:17:03,I cherish how dynamic colors are within the picture.,4,104,88
261,2020-12-16 06:40:52,Such a beautiful picture looks great.,2,226,53
262,2023-05-13 03:47:05,Impressive picture.,2,187,117
263,2020-09-24 15:41:57,Your grin makes me Happy.,6,138,51
264,2022-10-30 12:40:57,Looking Flawless and this picture made my day.,1,157,117
265,2024-02-10 06:12:31,Your elegance is indescribable.,7,53,100
266,2022-08-15 06:13:03,Just divinely gorgeous.,10,210,74
267,2020-02-10 16:56:03,You're an exceptionally wondrous and marvelous girl.,0,140,160
268,2023-07-15 05:16:15,Your looks make me insane.,2,90,56
269,2021-12-09 20:20:47,What a plenitude of magnificence.,4,131,46
270,2022-03-05 22:44:35,Grasp the wonderful mess that you simply are.,8,150,129
271,2020-11-03 05:13:59,Incredible characteristic excellence with parts of huge charm and astounding gorgeousness.,2,180,116
272,2020-08-07 01:34:35,The exemplification of beauty.,3,100,106
273,2020-08-05 10:06:29,Natural beauty with a brilliant heart.,5,119,156
274,2020-03-25 22:00:34,Lovely and more than rich!,0,25,16
275,2021-01-24 01:12:19,Mesmerizing Treasury house of beauty.,7,168,133
276,2020-10-15 07:58:41,That's the icon to revere if you're sitting out of gear.,3,143,103
277,2022-11-29 20:47:21,How can somebody be this beautiful.,6,220,125
278,2021-09-21 14:48:25,Dazzling and impressive queen!,2,177,18
279,2023-01-26 11:30:46,We all are favored to see your magnificence.,2,92,163
280,2021-04-27 14:01:40,You have got such an excellent smile.,4,206,29
281,2024-07-31 10:57:07,Your smile is fair enchanted and magnificent.,9,57,164
282,2022-03-09 16:11:42,Like a sparkling emerald you are rare and devine.,8,114,182
283,2024-07-26 20:20:49,You've got so charming and lovely grin that indeed God gives you each chance to smile.,9,218,83
284,2024-04-14 11:41:22,"Keep grinning continuously expensive, you see so charming and lovely after you smile.",0,113,25
285,2021-11-07 11:16:54,What a Captivating capture!,2,164,19
286,2023-03-10 01:37:14,Such a super magnificent capture this one is.,7,207,204
287,2021-05-16 02:17:18,Such a charming capture.,7,131,14
288,2024-05-23 02:09:23,Btw for me you continuously were astounding; always are amazing and continuously gonna be astounding too.,3,129,178
289,2023-04-11 00:30:44,Well I think this is often my favorite posture of yours.,9,51,199
290,2023-04-26 19:07:21,The meaning of excellence lies in you.,7,81,70
291,2021-06-02 14:45:32,You are the light in the darkness.,4,42,53
292,2020-07-15 15:53:17,"No one should be permitted to look that good, ok?",5,210,170
293,2022-02-04 04:38:58,"You're so charming, I can't deal.",8,98,9
294,2022-08-15 11:52:35,"Hello, you seem truly charming in this as always.",9,39,9
295,2020-01-13 04:25:22,That grin is priceless.,1,104,25
296,2021-09-27 16:29:51,You shake my world.,7,227,171
297,2023-12-03 09:41:08,You are my world.,6,36,23
298,2023-09-12 15:18:20,"You know you're pretty… lovely, amazing & extremely wonderful.",1,139,55
299,2023-02-01 17:11:37,My heart skips a beat each time I think of you. Or perhaps it's more of a somersault.,8,197,18
300,2021-01-28 02:38:23,For a few reasons each cherish tune makes me think of you….,0,57,110
